characteristic	rating
rounded	4.0
robust cocoa	4.0
unripened fruit	4.0
tart citrus	4.0
homey	4.0
smoth	4.0
cardamon	4.0
distinct choco and graham	4.0
distinct lemon	4.0
distinquished	4.0
cinamon and nutmeg	4.0
pronounced berry	4.0
cocoa with hint of melon	4.0
gentle roast	4.0
cocoa and coconut	4.0
raspberries	4.0
chocolate covered banana	4.0
roasted cocoa	4.0
choco strawberry	4.0
chocolate and grapes	4.0
simple red berry	4.0
perfectly balanced roast	4.0
delicate cocoa	4.0
sweet spice	4.0
burnt brownie	4.0
blackberry and cinnamon	4.0
grapes and honey	4.0
clove	4.0
dried cranberry	4.0
wild berries	4.0
long and rich	4.0
ligt color	4.0
intense pepper	4.0
tangerine	4.0
well defined	4.0
dense	3.875
rich cocoa dominates	3.75
deep	3.75
pear	3.75
peanut	3.75
Cadbury egg	3.75
intense prune and berry	3.75
intense fruity	3.75
chocolate ice cream	3.75
hit of anise	3.75
cocoa dominates	3.75
silky smooth	3.75
home baked banana nut bread	3.75
cocoa and fresh grapes	3.75
very grassy	3.75
hebs	3.75
clingy	3.75
intense grapes	3.75
strong spice	3.75
green fruit	3.75
floral notes	3.75
late floral	3.75
bold cherry	3.75
winey	3.75
yellow fruit	3.75
appealing smoke	3.75
mellow fruit	3.75
mild anise	3.75
dark forest berry	3.75
late spice notes	3.75
strong malt	3.75
rich mocha	3.75
rich hot cocoa	3.75
raisns	3.75
roasty cocoa	3.75
rich burnt caramel	3.75
rich and spicy	3.75
light cocoa	3.75
rich cooa	3.75
walnuts	3.75
easy melt	3.75
fall spices	3.75
brownie mix	3.75
soy	3.75
med roast	3.75
spicy edge	3.75
spicy cinnamon	3.75
spicy and rich	3.75
spicy and fragrant	3.75
candy flavor	3.75
pudding	3.75
mild cacao and fruit notes	3.75
thick	3.75
tropical fruit and mild smoke	3.75
lime	3.75
well developed	3.75
blackberries	3.75
roasty nibs	3.75
mild strawberry	3.75
fruity then nutty	3.75
full body	3.75
hint of lemon	3.75
powerful	3.75
subtle but refreshing	3.75
classic brownie	3.75
classic	3.75
subtle red berry	3.75
cigar	3.75
strong choco	3.75
strong distinct spice	3.75
mildy nutty	3.75
nuanced	3.75
mild nutty & woody	3.75
